period,position,final_seniority,final_salary
2015_H1,Data Scientist / Data Analyst,junior,381 nan nan
2015_H1,Data Scientist / Data Analyst,senior,5000 nan nan
2015_H1,Data Scientist / Data Analyst,junior,1000 nan nan
2015_H1,Data Scientist / Data Analyst,junior,1700 nan nan
2015_H1,Data Scientist / Data Analyst,senior,3350 nan nan
2015_H1,Data Scientist / Data Analyst,senior,560 nan nan
2015_H1,Data Scientist / Data Analyst,junior,1000 nan nan
2015_H1,Data Scientist / Data Analyst,junior,300 nan nan
2015_H1,Data Scientist / Data Analyst,junior,925 nan nan
2015_H1,Data Scientist / Data Analyst,junior,220 nan nan
2015_H1,Data Scientist / Data Analyst,senior,460 nan nan
2015_H1,Data Scientist / Data Analyst,middle,375 nan nan
2015_H1,Data Scientist / Data Analyst,junior,1920 nan nan
2015_H1,Data Scientist / Data Analyst,middle,700 nan nan
2015_H1,Data Scientist / Data Analyst,junior,1200 nan nan
2015_H1,Data Scientist / Data Analyst,junior,360 nan nan
2015_H1,Data Scientist / Data Analyst,middle,80 nan nan
2015_H1,Data Scientist / Data Analyst,junior,210 nan nan
2015_H1,Data Scientist / Data Analyst,junior,800 nan nan
2015_H1,Data Scientist / Data Analyst,middle,800 nan nan
2015_H1,Data Scientist / Data Analyst,middle,2200 nan nan
2015_H1,Data Scientist / Data Analyst,junior,900 nan nan
2015_H1,Data Scientist / Data Analyst,middle,2500 nan nan
2015_H1,Data Scientist / Data Analyst,middle,2500 nan nan
2015_H1,Data Scientist / Data Analyst,junior,1200 nan nan
2015_H1,Data Scientist / Data Analyst,middle,300 nan nan
2015_H1,Data Scientist / Data Analyst,junior,950 nan nan
2015_H1,Data Scientist / Data Analyst,middle,429 nan nan
2015_H1,Data Scientist / Data Analyst,junior,500 nan nan
2015_H1,Data Scientist / Data Analyst,junior,230 nan nan
2015_H1,Data Scientist / Data Analyst,senior,4000 nan nan
2015_H1,Data Scientist / Data Analyst,junior,3200 nan nan
2015_H1,Data Scientist / Data Analyst,junior,1000 nan nan
2015_H1,Data Scientist / Data Analyst,junior,1200 nan nan
2015_H1,Data Scientist / Data Analyst,junior,240 nan nan
2015_H1,Data Scientist / Data Analyst,middle,590 nan nan
2015_H2,Data Scientist / Data Analyst,middle,1000 nan nan
2015_H2,Data Scientist / Data Analyst,middle,990 nan nan
2015_H2,Data Scientist / Data Analyst,senior,4000 nan nan
2015_H2,Data Scientist / Data Analyst,junior,380 nan nan
2015_H2,Data Scientist / Data Analyst,senior,600 nan nan
2015_H2,Data Scientist / Data Analyst,senior,6000 nan nan
2015_H2,Data Scientist / Data Analyst,middle,300 nan nan
2015_H2,Data Scientist / Data Analyst,junior,124 nan nan
2015_H2,Data Scientist / Data Analyst,middle,3200 nan nan
2015_H2,Data Scientist / Data Analyst,junior,2000 nan nan
2015_H2,Data Scientist / Data Analyst,junior,400 nan nan
2015_H2,Data Scientist / Data Analyst,junior,5000 nan nan
2015_H2,Data Scientist / Data Analyst,senior,400 nan nan
2015_H2,Data Scientist / Data Analyst,junior,400 nan nan
2015_H2,Data Scientist / Data Analyst,junior,120 nan nan
2015_H2,Data Scientist / Data Analyst,middle,1495 nan nan
2015_H2,Data Scientist / Data Analyst,middle,1800 nan nan
2015_H2,Data Scientist / Data Analyst,junior,300 nan nan
2015_H2,Data Scientist / Data Analyst,senior,3900 nan nan
2015_H2,Data Scientist / Data Analyst,junior,280 nan nan
2015_H2,Data Scientist / Data Analyst,senior,2000 nan nan
2015_H2,Data Scientist / Data Analyst,middle,400 nan nan
2015_H2,Data Scientist / Data Analyst,junior,1850 nan nan
2015_H2,Data Scientist / Data Analyst,junior,1150 nan nan
2015_H2,Data Scientist / Data Analyst,junior,385 nan nan
