period,position,final_seniority,final_salary,frequency
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"4000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"4000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"4100 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"4300 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"4400 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 роки,"4500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"4500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"4655 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"2000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"5300 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"2000 Ні, не отримую 0.0",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"652 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"650 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"630 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"600 Отримую бонус за гарні показники роботи, але нерегулярно 200.0",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"600 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"600 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"600 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"570 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"450 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"435 Ні, не отримую 0.0",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"400 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"400 Отримую бонус за гарні показники роботи, але нерегулярно 200.0",1
2020_H2,"Data Science, Machine Learning, Big Data",3 роки,"700 Ні, не отримую 0.0",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"350 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"700 Ні, не отримую 0.0",1
2020_H2,"Data Science, Machine Learning, Big Data",3 роки,"700 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"1060 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"2000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"1000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"1000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"1000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"1000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"1000 Ні, не отримую 0.0",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"950 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"950 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",4 роки,"950 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"900 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"800 Отримую бонус за гарні показники роботи, але нерегулярно 200.0",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"800 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"760 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"750 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"720 Отримую бонус за гарні показники роботи, але нерегулярно 130.0",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"700 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"350 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"1000 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"200 Ні, не отримую 0.0",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"1500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 роки,1600 Отримую бонус щороку 1500.0,1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"1600 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"1650 Ні, не отримую 0.0",1
2020_H2,"Data Science, Machine Learning, Big Data",3 роки,1670 Отримую бонус щороку 2500.0,1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"1700 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1700 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,1760 Отримую бонус щороку nan,1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1800 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1800 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1800 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 роки,"1800 Отримую бонус за гарні показники роботи, але нерегулярно 200.0",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"1900 Отримую бонус за гарні показники роботи, але нерегулярно 400.0",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"2000 Отримую бонус за гарні показники роботи, але нерегулярно 300.0",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"300 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"1900 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"1500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,"1500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1800 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"1500 Ні, не отримую 0.0",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1200 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"1200 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"1250 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1250 Отримую бонус за гарні показники роботи, але нерегулярно 190.0",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1290 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,"1300 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"1300 Ні, не отримую 1300.0",1
2020_H2,"Data Science, Machine Learning, Big Data",3 роки,"1200 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,1300 Отримую бонус щороку 1000.0,1
2020_H2,"Data Science, Machine Learning, Big Data",3 місяці,1500 Отримую бонус щокварталу 500.0,1
2020_H2,"Data Science, Machine Learning, Big Data",Пів року,"1500 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,1100 Отримую бонус щороку 1100.0,1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,1500 Отримую бонус щороку 1000.0,1
2020_H2,"Data Science, Machine Learning, Big Data",Менше як 3 місяці,1188 Отримую бонус щороку 1188.0,1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,1400 Отримую бонус щороку 700.0,1
2020_H2,"Data Science, Machine Learning, Big Data",2 роки,"1400 Ні, не отримую nan",1
2020_H2,"Data Science, Machine Learning, Big Data",1 рік,"1350 Ні, не отримую nan",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","1758 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",5 років,"4000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",5 років,1700 Отримую бонус щороку nan,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"3000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"4000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,"5250 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"2000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,"6300 Отримую бонус за гарні показники роботи, але нерегулярно 4500.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,"4500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"4000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,1600 Отримую бонус щороку 4000.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","4200 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,"3570 Отримую бонус за гарні показники роботи, але нерегулярно nan",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"420 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,"2400 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","2050 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",7 років,"6000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"3000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,4500 Отримую бонус щороку 400.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"3500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"1000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"1300 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"15350 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"6650 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"250 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,800 Отримую бонус щомісяця 300.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"4600 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,"3500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"1600 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"2000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","2000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"3550 Отримую бонус за гарні показники роботи, але нерегулярно 500.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,2400 Отримую бонус щороку 500.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,"4700 Отримую бонус за гарні показники роботи, але нерегулярно 1000.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"4000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"6100 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"3500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,2300 Отримую бонус щороку nan,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,4800 Отримую бонус щокварталу 1250.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"700 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"700 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"2800 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"1200 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"1000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"550 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"1400 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,1425 Отримую бонус щороку 650.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"1850 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"1830 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"1100 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,4800 Отримую бонус щороку nan,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,2500 Отримую бонус щороку 2500.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року",2000 Отримую бонус щороку 3000.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"600 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,"5600 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"2200 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,"3000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"1500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"1500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"6500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"350 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,2350 Отримую бонус щороку 1500.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,1760 Отримую бонус щороку 1000.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"3300 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"1500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року",2300 Отримую бонус щороку 650.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"1300 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"4300 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","4500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"2300 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"3450 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"1700 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,6600 Отримую бонус щороку nan,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"729 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"800 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"1000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"4500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"1600 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року",1500 Отримую бонус щороку 1500.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"4200 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"2500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року",1500 Отримую бонус щокварталу 500.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"900 Отримую бонус за гарні показники роботи, але нерегулярно 200.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","2500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"7700 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"800 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"7000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",8 років,2200 Отримую бонус щороку 2000.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"800 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"1900 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"4000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"1710 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"600 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,900 Отримую бонус щокварталу 500.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"2000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"900 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","1500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","4200 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","4650 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"700 Отримую бонус за гарні показники роботи, але нерегулярно nan",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",6 років,"5300 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"1800 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"1500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"3500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"700 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"2040 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,"2000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"3100 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",5 років,3750 Отримую бонус щороку 5000.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"3800 Отримую бонус за гарні показники роботи, але нерегулярно 450.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"4500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"3250 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,4800 Отримую бонус щороку 2000.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"2325 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"4275 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"3000 Отримую бонус за гарні показники роботи, але нерегулярно 3000.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"1600 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"1425 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"1250 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,3160 Отримую бонус щороку 3000.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,"700 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,"7000 Отримую бонус за гарні показники роботи, але нерегулярно 10000.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"3000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"3500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","1400 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","4940 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,3500 Отримую бонус щороку 3500.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"1900 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,"4325 Отримую бонус за гарні показники роботи, але нерегулярно 200.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,1650 Отримую бонус щокварталу 275.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"1300 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"1000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 роки,"4400 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","2720 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,630 Отримую бонус щокварталу 380.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,2800 Отримую бонус щороку 1700.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"4500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"5000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"3800 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",5 років,"4800 Отримую бонус за гарні показники роботи, але нерегулярно nan",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",3 місяці,"4000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"800 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"5000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"700 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"3100 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",5 років,"2500 Отримую бонус за гарні показники роботи, але нерегулярно 1500.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,890 Отримую бонус щороку 800.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,3300 Отримую бонус щокварталу 200.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"650 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","5500 Отримую бонус за гарні показники роботи, але нерегулярно 1000.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,"2400 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"1000 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",10 і більше років,1250 Отримую бонус щокварталу 400.0,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Менше як 3 місяці,"4300 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"3500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року",2250 Отримую бонус щомісяця nan,1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",Пів року,"500 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",4 роки,"5170 Ні, не отримую 0.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer","1,5 року","1850 Отримую бонус за гарні показники роботи, але нерегулярно 150.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",1 рік,"2500 Отримую бонус за гарні показники роботи, але нерегулярно 200.0",1
2021_H1,"Data Science, Machine Learning, Big Data, Data Engineer",2 роки,2570 Отримую бонус щороку 4500.0,1
