period,position,final_seniority,final_salary,frequency
2016_H1,Data Scientist / Data Analyst,0.5,5700 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.25,2600 nan nan,1
2016_H1,Data Scientist / Data Analyst,1.5,1500 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,1800 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1500 nan nan,1
2016_H1,Data Scientist / Data Analyst,1.5,400 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,636 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,1200 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1200 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1400 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,600 nan nan,1
2016_H1,Data Scientist / Data Analyst,5,800 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,1600 nan nan,1
2016_H1,Data Scientist / Data Analyst,4,700 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,2000 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,3300 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,750 nan nan,1
2016_H1,Data Scientist / Data Analyst,2,1450 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,1600 nan nan,1
2016_H1,Data Scientist / Data Analyst,2,700 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,1000 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,800 nan nan,1
2016_H1,Data Scientist / Data Analyst,2,600 nan nan,1
2016_H1,Data Scientist / Data Analyst,2,500 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,1150 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,900 nan nan,1
2016_H1,Data Scientist / Data Analyst,1.5,3000 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1000 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1000 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,400 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,1800 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,1200 nan nan,1
2016_H1,Data Scientist / Data Analyst,2,2500 nan nan,1
2016_H1,Data Scientist / Data Analyst,2,2500 nan nan,1
2016_H1,Data Scientist / Data Analyst,4,800 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,1600 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,1200 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,800 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1300 nan nan,1
2016_H1,Data Scientist / Data Analyst,3,2000 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,2400 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,500 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,750 nan nan,1
2016_H2,Data Scientist / Data Analyst,2,460 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.25,700 nan nan,1
2016_H2,Data Scientist / Data Analyst,3,1850 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,3800 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,750 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,3325 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,300 nan nan,1
2016_H2,Data Scientist / Data Analyst,2,1500 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,4000 nan nan,1
2016_H2,Data Scientist / Data Analyst,4,530 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.25,500 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,1500 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,650 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,1330 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,4200 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,2000 nan nan,1
2016_H2,Data Scientist / Data Analyst,3,1800 nan nan,1
2016_H2,Data Scientist / Data Analyst,4,2000 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,750 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,2000 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,600 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,1000 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,500 nan nan,1
2016_H2,Data Scientist / Data Analyst,8,600 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,4000 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,1100 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,3000 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,2000 nan nan,1
2016_H2,Data Scientist / Data Analyst,7,440 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,700 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,1400 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,3700 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,200 nan nan,1
2016_H2,Data Scientist / Data Analyst,2,2000 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,4950 nan nan,1
2016_H2,Data Scientist / Data Analyst,2,1200 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,1520 nan nan,1
2016_H2,Data Scientist / Data Analyst,3,1625 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,1200 nan nan,1
2016_H2,Data Scientist / Data Analyst,6,550 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,800 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,800 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,1200 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,750 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,600 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,600 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,1100 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,500 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,400 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,600 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,2400 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,380 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,550 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,220 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,1000 nan nan,1
2016_H2,Data Scientist / Data Analyst,1,500 nan nan,1
2016_H2,Data Scientist / Data Analyst,2,1800 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,410 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.25,700 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,2300 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,615 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,2700 nan nan,1
2016_H2,Data Scientist / Data Analyst,меньше 3 месяцев,350 nan nan,1
2016_H2,Data Scientist / Data Analyst,1.5,1400 nan nan,1
2016_H2,Data Scientist / Data Analyst,4,740 nan nan,1
2016_H2,Data Scientist / Data Analyst,0.5,1300 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,2000 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,4000 nan nan,1
2017_H1,Data Scientist / Data Analyst,1.5,3900 nan nan,1
2017_H1,Data Scientist / Data Analyst,1.5,1100 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,800 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.25,2300 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,300 nan nan,1
2017_H1,Data Scientist / Data Analyst,1.5,1000 nan nan,1
2017_H1,Data Scientist / Data Analyst,4,2000 nan nan,1
2017_H1,Data Scientist / Data Analyst,6,260 nan nan,1
2017_H1,Data Scientist / Data Analyst,7,4000 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,800 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,270 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,2050 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,850 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1500 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,800 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,2700 nan nan,1
2017_H1,Data Scientist / Data Analyst,2,1520 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,1100 nan nan,1
2017_H1,Data Scientist / Data Analyst,2,2400 nan nan,1
2017_H1,Data Scientist / Data Analyst,2,2400 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,300 nan nan,1
