period,position,final_seniority,final_salary
2015_H1,Data Scientist / Data Analyst,junior,381
2015_H1,Data Scientist / Data Analyst,senior,5000
2015_H1,Data Scientist / Data Analyst,junior,1000
2015_H1,Data Scientist / Data Analyst,junior,1700
2015_H1,Data Scientist / Data Analyst,senior,3350
2015_H1,Data Scientist / Data Analyst,senior,560
2015_H1,Data Scientist / Data Analyst,junior,1000
2015_H1,Data Scientist / Data Analyst,junior,300
2015_H1,Data Scientist / Data Analyst,junior,925
2015_H1,Data Scientist / Data Analyst,junior,220
2015_H1,Data Scientist / Data Analyst,senior,460
2015_H1,Data Scientist / Data Analyst,middle,375
2015_H1,Data Scientist / Data Analyst,junior,1920
2015_H1,Data Scientist / Data Analyst,middle,700
2015_H1,Data Scientist / Data Analyst,junior,1200
2015_H1,Data Scientist / Data Analyst,junior,360
2015_H1,Data Scientist / Data Analyst,middle,80
2015_H1,Data Scientist / Data Analyst,junior,210
2015_H1,Data Scientist / Data Analyst,junior,800
2015_H1,Data Scientist / Data Analyst,middle,800
2015_H1,Data Scientist / Data Analyst,middle,2200
2015_H1,Data Scientist / Data Analyst,junior,900
2015_H1,Data Scientist / Data Analyst,middle,2500
2015_H1,Data Scientist / Data Analyst,middle,2500
2015_H1,Data Scientist / Data Analyst,junior,1200
2015_H1,Data Scientist / Data Analyst,middle,300
2015_H1,Data Scientist / Data Analyst,junior,950
2015_H1,Data Scientist / Data Analyst,middle,429
2015_H1,Data Scientist / Data Analyst,junior,500
2015_H1,Data Scientist / Data Analyst,junior,230
2015_H1,Data Scientist / Data Analyst,senior,4000
2015_H1,Data Scientist / Data Analyst,junior,3200
2015_H1,Data Scientist / Data Analyst,junior,1000
2015_H1,Data Scientist / Data Analyst,junior,1200
2015_H1,Data Scientist / Data Analyst,junior,240
2015_H1,Data Scientist / Data Analyst,middle,590
2015_H2,Data Scientist / Data Analyst,middle,1000
2015_H2,Data Scientist / Data Analyst,middle,990
2015_H2,Data Scientist / Data Analyst,senior,4000
2015_H2,Data Scientist / Data Analyst,junior,380
2015_H2,Data Scientist / Data Analyst,senior,600
2015_H2,Data Scientist / Data Analyst,senior,6000
2015_H2,Data Scientist / Data Analyst,middle,300
2015_H2,Data Scientist / Data Analyst,junior,124
2015_H2,Data Scientist / Data Analyst,middle,3200
2015_H2,Data Scientist / Data Analyst,junior,2000
2015_H2,Data Scientist / Data Analyst,junior,400
2015_H2,Data Scientist / Data Analyst,junior,5000
2015_H2,Data Scientist / Data Analyst,senior,400
2015_H2,Data Scientist / Data Analyst,junior,400
2015_H2,Data Scientist / Data Analyst,junior,120
2015_H2,Data Scientist / Data Analyst,middle,1495
2015_H2,Data Scientist / Data Analyst,middle,1800
2015_H2,Data Scientist / Data Analyst,junior,300
2015_H2,Data Scientist / Data Analyst,senior,3900
2015_H2,Data Scientist / Data Analyst,junior,280
2015_H2,Data Scientist / Data Analyst,senior,2000
2015_H2,Data Scientist / Data Analyst,middle,400
2015_H2,Data Scientist / Data Analyst,junior,1850
2015_H2,Data Scientist / Data Analyst,junior,1150
2015_H2,Data Scientist / Data Analyst,junior,385
2015_H2,Data Scientist / Data Analyst,middle,1750
2015_H2,Data Scientist / Data Analyst,middle,2000
2015_H2,Data Scientist / Data Analyst,middle,500
2015_H2,Data Scientist / Data Analyst,middle,2000
2015_H2,Data Scientist / Data Analyst,middle,1800
2015_H2,Data Scientist / Data Analyst,junior,320
2015_H2,Data Scientist / Data Analyst,senior,4500
2015_H2,Data Scientist / Data Analyst,junior,800
2015_H2,Data Scientist / Data Analyst,middle,2700
2015_H2,Data Scientist / Data Analyst,junior,1200
2015_H2,Data Scientist / Data Analyst,junior,800
2015_H2,Data Scientist / Data Analyst,junior,520
2015_H2,Data Scientist / Data Analyst,junior,340
2015_H2,Data Scientist / Data Analyst,senior,1000
2015_H2,Data Scientist / Data Analyst,junior,520
2015_H2,Data Scientist / Data Analyst,senior,450
2015_H2,Data Scientist / Data Analyst,junior,1200
2015_H2,Data Scientist / Data Analyst,junior,2000
2015_H2,Data Scientist / Data Analyst,senior,330
2015_H2,Data Scientist / Data Analyst,junior,1200
2015_H2,Data Scientist / Data Analyst,junior,250
2015_H2,Data Scientist / Data Analyst,junior,1400
2015_H2,Data Scientist / Data Analyst,junior,700
2016_H1,Data Scientist / Data Analyst,middle,600
2016_H1,Data Scientist / Data Analyst,junior,800
2016_H1,Data Scientist / Data Analyst,middle,4700
2016_H1,Data Scientist / Data Analyst,junior,500
2016_H1,Data Scientist / Data Analyst,senior,3800
2016_H1,Data Scientist / Data Analyst,junior,650
2016_H1,Data Scientist / Data Analyst,senior,5000
2016_H1,Data Scientist / Data Analyst,middle,3000
2016_H1,Data Scientist / Data Analyst,junior,2200
2016_H1,Data Scientist / Data Analyst,senior,1500
2016_H1,Data Scientist / Data Analyst,junior,1200
2016_H1,Data Scientist / Data Analyst,senior,5700
2016_H1,Data Scientist / Data Analyst,middle,2600
2016_H1,Data Scientist / Data Analyst,junior,1500
2016_H1,Data Scientist / Data Analyst,middle,1800
2016_H1,Data Scientist / Data Analyst,junior,1500
2016_H1,Data Scientist / Data Analyst,middle,400
2016_H1,Data Scientist / Data Analyst,junior,636
2016_H1,Data Scientist / Data Analyst,junior,1200
2016_H1,Data Scientist / Data Analyst,middle,1200
2016_H1,Data Scientist / Data Analyst,junior,1400
2016_H1,Data Scientist / Data Analyst,junior,600
2016_H1,Data Scientist / Data Analyst,middle,800
2016_H1,Data Scientist / Data Analyst,junior,1600
2016_H1,Data Scientist / Data Analyst,middle,700
2016_H1,Data Scientist / Data Analyst,junior,2000
2016_H1,Data Scientist / Data Analyst,middle,3300
2016_H1,Data Scientist / Data Analyst,junior,750
2016_H1,Data Scientist / Data Analyst,middle,1450
2016_H1,Data Scientist / Data Analyst,middle,1600
2016_H1,Data Scientist / Data Analyst,junior,700
2016_H1,Data Scientist / Data Analyst,junior,1000
2016_H1,Data Scientist / Data Analyst,junior,800
2016_H1,Data Scientist / Data Analyst,junior,600
2016_H1,Data Scientist / Data Analyst,junior,500
2016_H1,Data Scientist / Data Analyst,junior,1150
2016_H1,Data Scientist / Data Analyst,junior,900
2016_H1,Data Scientist / Data Analyst,junior,3000
2016_H1,Data Scientist / Data Analyst,junior,1000
2016_H1,Data Scientist / Data Analyst,middle,1000
2016_H1,Data Scientist / Data Analyst,junior,400
2016_H1,Data Scientist / Data Analyst,junior,1800
2016_H1,Data Scientist / Data Analyst,junior,1200
2016_H1,Data Scientist / Data Analyst,senior,2500
2016_H1,Data Scientist / Data Analyst,middle,2500
2016_H1,Data Scientist / Data Analyst,junior,800
2016_H1,Data Scientist / Data Analyst,junior,1600
2016_H1,Data Scientist / Data Analyst,junior,1200
2016_H1,Data Scientist / Data Analyst,junior,800
2016_H1,Data Scientist / Data Analyst,junior,1300
2016_H1,Data Scientist / Data Analyst,senior,2000
2016_H2,Data Scientist / Data Analyst,middle,2400
2016_H2,Data Scientist / Data Analyst,junior,500
2016_H2,Data Scientist / Data Analyst,junior,750
2016_H2,Data Scientist / Data Analyst,junior,460
2016_H2,Data Scientist / Data Analyst,junior,700
2016_H2,Data Scientist / Data Analyst,middle,1850
2016_H2,Data Scientist / Data Analyst,senior,3800
2016_H2,Data Scientist / Data Analyst,junior,750
2016_H2,Data Scientist / Data Analyst,middle,3325
2016_H2,Data Scientist / Data Analyst,junior,300
2016_H2,Data Scientist / Data Analyst,junior,1500
2016_H2,Data Scientist / Data Analyst,junior,4000
2016_H2,Data Scientist / Data Analyst,middle,530
2016_H2,Data Scientist / Data Analyst,junior,500
2016_H2,Data Scientist / Data Analyst,junior,1500
2016_H2,Data Scientist / Data Analyst,middle,650
2016_H2,Data Scientist / Data Analyst,middle,1330
2016_H2,Data Scientist / Data Analyst,middle,4200
2016_H2,Data Scientist / Data Analyst,junior,2000
2016_H2,Data Scientist / Data Analyst,middle,1800
2016_H2,Data Scientist / Data Analyst,senior,2000
2016_H2,Data Scientist / Data Analyst,middle,750
2016_H2,Data Scientist / Data Analyst,middle,2000
2016_H2,Data Scientist / Data Analyst,junior,600
2016_H2,Data Scientist / Data Analyst,junior,1000
2016_H2,Data Scientist / Data Analyst,senior,500
2016_H2,Data Scientist / Data Analyst,senior,600
2016_H2,Data Scientist / Data Analyst,senior,4000
2016_H2,Data Scientist / Data Analyst,junior,1100
2016_H2,Data Scientist / Data Analyst,middle,3000
2016_H2,Data Scientist / Data Analyst,junior,2000
2016_H2,Data Scientist / Data Analyst,middle,440
2016_H2,Data Scientist / Data Analyst,junior,700
2016_H2,Data Scientist / Data Analyst,junior,1400
2016_H2,Data Scientist / Data Analyst,middle,3700
2016_H2,Data Scientist / Data Analyst,junior,200
2016_H2,Data Scientist / Data Analyst,middle,2000
2016_H2,Data Scientist / Data Analyst,senior,4950
2016_H2,Data Scientist / Data Analyst,senior,1200
2016_H2,Data Scientist / Data Analyst,junior,1520
2016_H2,Data Scientist / Data Analyst,senior,1625
2016_H2,Data Scientist / Data Analyst,junior,1200
2016_H2,Data Scientist / Data Analyst,middle,550
2016_H2,Data Scientist / Data Analyst,junior,800
2016_H2,Data Scientist / Data Analyst,junior,800
2016_H2,Data Scientist / Data Analyst,senior,1200
2016_H2,Data Scientist / Data Analyst,middle,750
2016_H2,Data Scientist / Data Analyst,junior,600
2016_H2,Data Scientist / Data Analyst,middle,600
2016_H2,Data Scientist / Data Analyst,junior,1100
2016_H2,Data Scientist / Data Analyst,junior,500
2016_H2,Data Scientist / Data Analyst,junior,400
2016_H2,Data Scientist / Data Analyst,junior,600
2016_H2,Data Scientist / Data Analyst,middle,2400
2016_H2,Data Scientist / Data Analyst,junior,380
2016_H2,Data Scientist / Data Analyst,junior,550
2016_H2,Data Scientist / Data Analyst,junior,220
2016_H2,Data Scientist / Data Analyst,junior,1000
2016_H2,Data Scientist / Data Analyst,middle,500
2016_H2,Data Scientist / Data Analyst,junior,1800
2016_H2,Data Scientist / Data Analyst,junior,410
2016_H2,Data Scientist / Data Analyst,junior,700
2016_H2,Data Scientist / Data Analyst,junior,2300
2016_H2,Data Scientist / Data Analyst,junior,615
2016_H2,Data Scientist / Data Analyst,junior,2700
2016_H2,Data Scientist / Data Analyst,junior,350
2016_H2,Data Scientist / Data Analyst,junior,1400
2016_H2,Data Scientist / Data Analyst,middle,740
2016_H2,Data Scientist / Data Analyst,middle,1300
2017_H1,Data Scientist / Data Analyst,junior,2000
2017_H1,Data Scientist / Data Analyst,middle,4000
2017_H1,Data Scientist / Data Analyst,middle,3900
2017_H1,Data Scientist / Data Analyst,junior,1100
2017_H1,Data Scientist / Data Analyst,junior,800
2017_H1,Data Scientist / Data Analyst,junior,2300
2017_H1,Data Scientist / Data Analyst,middle,300
2017_H1,Data Scientist / Data Analyst,junior,1000
2017_H1,Data Scientist / Data Analyst,middle,2000
2017_H1,Data Scientist / Data Analyst,senior,260
2017_H1,Data Scientist / Data Analyst,senior,4000
2017_H1,Data Scientist / Data Analyst,junior,800
2017_H1,Data Scientist / Data Analyst,junior,270
2017_H1,Data Scientist / Data Analyst,junior,2050
2017_H1,Data Scientist / Data Analyst,junior,850
2017_H1,Data Scientist / Data Analyst,middle,1500
2017_H1,Data Scientist / Data Analyst,junior,800
2017_H1,Data Scientist / Data Analyst,junior,2700
2017_H1,Data Scientist / Data Analyst,junior,1520
2017_H1,Data Scientist / Data Analyst,junior,1100
2017_H1,Data Scientist / Data Analyst,junior,2400
2017_H1,Data Scientist / Data Analyst,senior,2400
2017_H1,Data Scientist / Data Analyst,junior,300
2017_H1,Data Scientist / Data Analyst,middle,280
2017_H1,Data Scientist / Data Analyst,junior,1000
2017_H1,Data Scientist / Data Analyst,senior,1200
2017_H1,Data Scientist / Data Analyst,middle,500
2017_H1,Data Scientist / Data Analyst,middle,1700
2017_H1,Data Scientist / Data Analyst,junior,375
2017_H1,Data Scientist / Data Analyst,junior,200
2017_H1,Data Scientist / Data Analyst,middle,3000
2017_H1,Data Scientist / Data Analyst,middle,660
2017_H1,Data Scientist / Data Analyst,middle,1400
2017_H1,Data Scientist / Data Analyst,middle,3500
2017_H1,Data Scientist / Data Analyst,middle,2000
2017_H1,Data Scientist / Data Analyst,junior,1500
2017_H1,Data Scientist / Data Analyst,senior,1500
2017_H1,Data Scientist / Data Analyst,junior,700
2017_H1,Data Scientist / Data Analyst,middle,860
